Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,position,height,weight,country,draft_year,draft_number,conference,division,team,Group
Dorian Finney-Smith,29.01,3.8,8.13,0.47,2.33,5.53,0.42,0.73,1.2,0.19,1.8,2.47,4.27,1.8,0.93,0.53,1.07,3.07,10.67,8.58,F,2.01,99.0,USA,undrafted,undrafted,East,Atlantic,Brooklyn Nets,Role Players
Doug McDermott,8.82,0.94,2.94,0.22,0.75,2.44,0.24,0.19,0.31,0.07,0.0,0.81,0.81,0.19,0.12,0.06,0.06,0.94,2.81,1.19,F,1.98,101.25,USA,2014,11,West,Pacific,Sacramento Kings,Prospects and Bench Players
Draymond Green,28.52,2.89,6.68,0.42,1.53,3.79,0.42,1.53,2.53,0.44,0.95,5.26,6.21,6.0,1.0,1.05,2.26,3.26,8.84,9.53,F,1.98,103.5,USA,2012,35,West,Pacific,Golden State Warriors,Role Players
Drew Eubanks,13.82,1.81,3.31,0.54,0.06,0.19,0.06,0.62,1.19,0.34,1.31,2.75,4.06,1.19,0.25,0.56,0.94,1.31,4.31,4.25,F,2.08,110.25,USA,undrafted,undrafted,West,Northwest,Utah Jazz,Prospects and Bench Players
Drew Peterson,2.48,0.0,0.33,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,0.33,0.67,0.33,0.0,0.0,0.57,F,2.06,92.25,USA,undrafted,undrafted,East,Atlantic,Boston Celtics,Prospects and Bench Players
Dru Smith,10.48,1.2,2.6,0.36,0.4,1.0,0.1,0.0,0.0,0.0,0.4,2.2,2.6,1.0,0.6,0.8,0.6,0.8,2.8,3.34,G,1.88,91.35,USA,undrafted,undrafted,East,Southeast,Miami Heat,Prospects and Bench Players
Duncan Robinson,22.03,3.81,9.31,0.41,2.62,6.81,0.41,0.56,0.75,0.23,0.31,1.94,2.25,1.94,0.5,0.19,0.75,2.12,10.81,6.93,F,2.01,96.75,USA,undrafted,undrafted,East,Southeast,Miami Heat,Role Players
Duop Reath,4.71,0.45,1.64,0.18,0.27,1.18,0.18,0.0,0.0,0.0,0.45,0.27,0.73,0.18,0.0,0.18,0.09,0.55,1.18,0.56,C,2.06,110.25,South Sudan,undrafted,undrafted,West,Northwest,Portland Trail Blazers,Prospects and Bench Players
Dwight Powell,8.26,0.4,0.53,0.31,0.0,0.0,0.0,0.87,1.2,0.33,0.6,1.27,1.87,0.6,0.4,0.53,0.33,1.53,1.67,2.37,C,2.08,108.0,Canada,2014,45,West,Southwest,Dallas Mavericks,Prospects and Bench Players
Dyson Daniels,33.7,5.68,12.95,0.44,1.21,4.11,0.29,0.95,1.53,0.39,1.63,3.47,5.11,3.0,3.0,0.95,1.84,2.68,13.53,11.54,G,2.01,89.55,Australia,2022,8,East,Southeast,Atlanta Hawks,Role Players
E.J. Liddell,5.21,1.0,1.6,0.37,0.6,1.2,0.23,0.0,0.0,0.0,0.2,0.6,0.8,0.6,0.2,0.0,0.2,1.6,2.6,1.98,F,1.98,108.0,USA,2022,41,East,Central,Chicago Bulls,Prospects and Bench Players
Elfrid Payton,24.23,4.0,7.8,0.48,0.0,0.2,0.0,0.2,0.4,0.1,1.0,3.6,4.6,8.0,1.6,0.2,3.2,2.0,8.2,9.38,G,1.9,87.75,USA,2014,undrafted,West,Southwest,New Orleans Pelicans,Role Players
Enrique Freeman,8.77,0.64,1.45,0.34,0.09,0.45,0.05,0.45,0.82,0.27,0.27,0.64,0.91,0.55,0.18,0.09,0.27,1.27,1.82,1.14,F,2.01,92.7,USA,2024,undrafted,East,Central,Indiana Pacers,Prospects and Bench Players
Eric Gordon,16.49,1.56,4.81,0.28,0.62,2.62,0.19,1.06,1.38,0.36,0.19,0.75,0.94,1.31,0.62,0.31,0.81,0.81,4.81,2.92,G,1.9,96.75,USA,2008,7,East,Atlantic,Philadelphia 76ers,Prospects and Bench Players
Evan Mobley,31.1,7.05,12.63,0.56,0.63,1.95,0.3,3.42,4.11,0.83,2.37,6.89,9.26,2.74,1.05,1.53,2.11,2.11,18.16,16.68,C,2.11,96.75,USA,2021,3,East,Central,Cleveland Cavaliers,All-Stars
Franz Wagner,32.26,8.76,18.48,0.48,2.19,6.19,0.32,3.86,4.52,0.73,0.95,4.57,5.52,5.76,1.86,0.38,2.19,2.33,23.57,18.95,F,2.08,99.0,Germany,2021,8,East,Southeast,Orlando Magic,Superstars
Fred VanVleet,34.91,5.42,13.95,0.38,2.37,7.32,0.31,1.89,2.37,0.57,0.58,3.84,4.42,6.32,1.74,0.42,1.26,2.42,15.11,13.1,G,1.83,88.65,USA,undrafted,undrafted,West,Southwest,Houston Rockets,Superstars
Gabe Vincent,16.67,1.11,3.53,0.31,0.47,2.26,0.17,0.11,0.32,0.05,0.26,0.68,0.95,0.53,0.53,0.05,0.42,1.58,2.79,0.95,G,1.88,90.0,USA,undrafted,undrafted,West,Pacific,Los Angeles Lakers,Prospects and Bench Players
Garrett Temple,4.07,0.29,0.71,0.14,0.14,0.29,0.14,0.0,0.0,0.0,0.14,0.43,0.57,0.71,0.57,0.14,0.14,0.86,0.71,1.24,G,1.96,87.75,USA,undrafted,undrafted,East,Atlantic,Toronto Raptors,Prospects and Bench Players
Garrison Mathews,17.92,2.39,5.28,0.39,2.06,4.44,0.4,1.33,1.61,0.49,0.17,0.89,1.06,1.44,0.72,0.17,0.56,1.67,8.17,6.33,G,1.98,96.75,USA,undrafted,undrafted,East,Southeast,Atlanta Hawks,Role Players
Gary Harris,16.57,1.41,3.53,0.34,1.0,2.71,0.27,0.24,0.35,0.08,0.53,0.82,1.35,0.41,0.53,0.29,0.41,0.76,4.06,3.03,G,1.93,94.5,USA,2014,19,East,Southeast,Orlando Magic,Prospects and Bench Players
Georges Niang,20.02,3.1,7.25,0.45,1.6,4.9,0.32,0.25,0.35,0.15,0.6,3.0,3.6,1.2,0.4,0.2,1.0,2.25,8.05,4.97,F,2.01,103.5,USA,2016,undrafted,East,Central,Cleveland Cavaliers,Role Players
Giannis Antetokounmpo,35.18,13.18,21.65,0.62,0.18,0.82,0.08,6.41,10.47,0.54,2.12,9.82,11.94,6.65,0.53,1.41,3.29,2.71,32.94,27.66,F,2.11,109.35,Greece,2013,15,East,Central,Milwaukee Bucks,Superstars
Goga Bitadze,21.68,3.41,5.06,0.68,0.0,0.41,0.0,1.18,1.47,0.43,2.47,4.24,6.71,1.76,0.71,1.65,1.41,2.47,8.0,9.4,C,2.08,112.5,Georgia,2019,18,East,Southeast,Orlando Magic,All-Stars
Gradey Dick,32.95,6.06,14.53,0.41,2.35,6.88,0.34,3.65,4.0,0.82,0.65,2.41,3.06,2.24,0.88,0.29,1.82,2.24,18.12,11.34,G,1.98,90.0,USA,2023,13,East,Atlantic,Toronto Raptors,Superstars
Grant Williams,29.94,3.38,7.69,0.44,1.69,4.62,0.36,1.94,2.31,0.58,1.12,4.0,5.12,2.31,1.12,0.81,1.75,2.88,10.38,8.59,F,1.98,106.2,USA,2019,22,East,Southeast,Charlotte Hornets,Role Players
Grayson Allen,23.11,3.33,8.47,0.38,2.27,6.4,0.35,1.73,2.2,0.45,0.53,2.13,2.67,1.2,0.67,0.33,1.2,1.33,10.67,6.91,G,1.93,89.10000000000001,USA,2018,21,West,Pacific,Phoenix Suns,Role Players
Guerschon Yabusele,23.44,3.56,7.33,0.48,1.72,3.94,0.35,0.89,1.5,0.32,1.78,3.72,5.5,1.72,0.67,0.5,1.28,2.78,9.72,7.96,F,2.03,119.25,France,2016,16,East,Atlantic,Philadelphia 76ers,Role Players
Gui Santos,3.73,0.33,0.83,0.33,0.17,0.5,0.17,0.17,0.33,0.08,0.17,0.83,1.0,0.33,0.0,0.0,0.33,0.5,1.0,0.55,F,1.98,83.25,Brazil,2022,55,West,Pacific,Golden State Warriors,Prospects and Bench Players
Harrison Barnes,29.26,3.84,7.42,0.47,1.58,3.37,0.43,2.47,3.11,0.7,1.84,2.89,4.74,1.63,0.32,0.21,0.79,0.79,11.74,10.48,F,2.03,101.25,USA,2012,7,West,Southwest,San Antonio Spurs,Role Players
Harrison Ingram,6.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.8,F,1.96,103.5,USA,2024,48,West,Southwest,San Antonio Spurs,Prospects and Bench Players
Herbert Jones,28.26,3.0,6.25,0.5,0.5,2.75,0.21,0.25,0.5,0.12,1.0,1.5,2.5,1.0,1.75,0.25,1.25,2.25,6.75,5.1,F,2.01,92.7,USA,2021,35,West,Southwest,New Orleans Pelicans,Role Players
Hunter Tyson,9.18,0.83,1.92,0.32,0.25,1.08,0.17,0.5,0.58,0.21,0.33,1.33,1.67,0.5,0.17,0.25,0.42,1.17,2.42,1.82,F,2.03,96.75,USA,2023,37,West,Northwest,Denver Nuggets,Prospects and Bench Players
