,Player,position,height,weight,country,draft_year,draft_number,conference,division,team
2407,Ray Kuka,G-C,1.9,90.0,USA,undrafted,undrafted,East,Atlantic,New York Knicks
2408,Toni Kukoc,G-C,2.11,105.75,Croatia,1990,29,East,Central,Chicago Bulls
2409,Arnoldas Kulboka,F,2.08,94.05,Lithuania,2018,55,East,Southeast,Charlotte Hornets
2410,Jonathan Kuminga,F,2.01,101.25,DRC,2021,7,West,Pacific,Golden State Warriors
2411,Kevin Kunnert,G-C,2.13,103.5,USA,1973,12,West,Southwest,Houston Rockets
2412,Mitch Kupchak,G-C,2.06,103.5,USA,1976,13,East,Southeast,Washington Wizards
2413,Charles Kupec,G-C,1.98,99.0,USA,1975,56,West,Pacific,Los Angeles Lakers
2414,Rodions Kurucs,F,2.06,102.6,Latvia,2018,undrafted,East,Atlantic,Brooklyn Nets
2415,Rob Kurz,G-C,2.06,104.4,USA,undrafted,undrafted,West,Pacific,Golden State Warriors
2416,Ibrahim Kutluay,G-C,1.98,90.0,Turkey,undrafted,undrafted,West,Northwest,Oklahoma City Thunder
2417,Kyle Kuzma,F,2.06,99.45,USA,2017,27,East,Southeast,Washington Wizards
2418,Ognjen Kuzmic,G-C,2.13,117.0,Serbia,2012,52,West,Pacific,Golden State Warriors
2419,Mindaugas Kuzminskas,G-C,2.06,96.75,Lithuania,undrafted,undrafted,East,Atlantic,New York Knicks
2420,Fred LaCour,G-C,1.96,94.5,USA,1960,22,East,Southeast,Atlanta Hawks
2421,Raef LaFrentz,C,2.11,108.0,USA,1998,3,West,Northwest,Denver Nuggets
2422,Tom LaGarde,G-C,2.08,99.0,USA,1977,9,West,Southwest,Dallas Mavericks
2423,Jake LaRavia,F,2.01,105.75,USA,2022,19,West,Southwest,Memphis Grizzlies
2424,Rusty LaRue,G-C,1.9,83.25,USA,undrafted,undrafted,East,Central,Chicago Bulls
2425,Rudy LaRusso,G-C,2.03,99.0,USA,1959,undrafted,West,Pacific,Los Angeles Lakers
2426,Zach LaVine,G,1.96,90.0,USA,2014,13,East,Central,Chicago Bulls
2427,Skal Labissiere,F,2.08,105.75,Haiti,2016,28,West,Pacific,Sacramento Kings
2428,Sam Lacey,G-C,2.08,105.75,USA,1970,5,West,Pacific,Sacramento Kings
2429,Christian Laettner,G-C,2.11,110.25,USA,1992,3,West,Northwest,Minnesota Timberwolves
2430,Oliver Lafayette,G-C,1.88,85.5,USA,undrafted,undrafted,East,Atlantic,Boston Celtics
2431,Bill Laimbeer,G-C,2.11,110.25,USA,1979,65,East,Central,Detroit Pistons
2432,Bo Lamar,G-C,1.85,81.0,USA,1973,44,West,Pacific,Los Angeles Lakers
2433,Doron Lamb,G-C,1.93,90.0,USA,2012,42,East,Southeast,Orlando Magic
2434,Anthony Lamb,F,1.98,102.15,USA,undrafted,undrafted,West,Pacific,Golden State Warriors
2435,Jeremy Lamb,G,1.96,81.0,USA,2012,12,West,Pacific,Sacramento Kings
2436,John Lambert,G-C,2.08,101.25,USA,1975,15,East,Central,Cleveland Cavaliers
2437,Jeff Lamp,G-C,1.98,87.75,USA,1981,15,West,Northwest,Portland Trail Blazers
2438,Maciej Lampe,G-C,2.11,123.75,Poland,2003,undrafted,West,Pacific,Phoenix Suns
2439,Sean Lampley,G-C,2.01,102.15,USA,2001,44,East,Southeast,Miami Heat
2440,Jim Lampley,G-C,2.08,103.5,USA,1983,2,East,Atlantic,Philadelphia 76ers
2441,Jock Landale,C,2.11,114.75,Australia,undrafted,undrafted,West,Southwest,Houston Rockets
2442,Marcus Landry,G-C,2.01,105.75,USA,undrafted,undrafted,East,Atlantic,New York Knicks
2443,Carl Landry,G-C,2.06,111.6,USA,2007,31,West,Pacific,Sacramento Kings
2444,Mark Landsberger,G-C,2.03,96.75,USA,1977,35,West,Pacific,Los Angeles Lakers
2445,Jerome Lane,G-C,1.98,103.5,USA,1988,23,West,Northwest,Denver Nuggets
2446,James Lang,G-C,2.08,137.25,USA,2003,48,East,Southeast,Washington Wizards
2447,Antonio Lang,G-C,2.03,103.5,USA,1994,29,East,Central,Cleveland Cavaliers
2448,Andrew Lang,G-C,2.11,123.75,USA,1988,28,West,Pacific,Phoenix Suns
2449,Trajan Langdon,G-C,1.9,88.65,USA,1999,11,East,Central,Cleveland Cavaliers
2450,Keith Langford,G-C,1.93,96.75,USA,undrafted,undrafted,West,Southwest,San Antonio Spurs
2451,Romeo Langford,G,1.96,97.2,USA,2019,14,West,Northwest,Utah Jazz
2452,Dan Langhi,G-C,2.11,99.0,USA,2000,31,West,Southwest,Houston Rockets
2453,Bob Lanier,G-C,2.11,112.5,USA,1970,1,East,Central,Detroit Pistons
2454,Stu Lantz,G-C,1.9,78.75,USA,1968,23,West,Southwest,Houston Rockets
2455,Nicolas Laprovittola,G-C,1.93,81.0,Argentina,undrafted,undrafted,West,Southwest,San Antonio Spurs
2456,York Larese,G-C,1.93,82.35000000000001,USA,1961,undrafted,West,Pacific,Golden State Warriors
2457,Shane Larkin,G-C,1.8,78.75,USA,2013,18,East,Atlantic,Brooklyn Nets
2458,Pelle Larsson,G,1.96,96.75,Sweden,2024,44,East,Southeast,Miami Heat
2459,John Laskowski,G-C,1.98,83.25,USA,1975,32,East,Central,Chicago Bulls
2460,Stephane Lasme,G-C,2.03,96.75,Gabon,2007,46,East,Southeast,Miami Heat
2461,Dave Lattin,G-C,1.98,101.25,USA,1967,undrafted,West,Pacific,Phoenix Suns
2462,Priest Lauderdale,G-C,2.24,146.25,USA,1996,28,West,Northwest,Denver Nuggets
2463,Rich Laurel,G-C,1.98,85.5,USA,1977,19,East,Central,Milwaukee Bucks
2464,Joffrey Lauvergne,G-C,2.11,117.0,France,2013,55,West,Northwest,Denver Nuggets
2465,Tony Lavelli,G-C,1.9,83.25,USA,1949,4,East,Atlantic,Boston Celtics
2466,Vic Law,F,2.01,90.45,USA,undrafted,undrafted,East,Southeast,Orlando Magic
2467,Acie Law,G-C,1.9,90.9,USA,2007,11,East,Southeast,Atlanta Hawks
2468,Gani Lawal,G-C,2.06,105.3,USA,2010,46,West,Pacific,Phoenix Suns
2469,Ed Lawrence,G-C,2.11,102.6,USA,1976,84,East,Central,Detroit Pistons
2470,Jason Lawson,G-C,2.11,108.0,USA,1997,41,East,Southeast,Orlando Magic
2471,AJ Lawson,G,1.98,80.55,Canada,undrafted,undrafted,West,Southwest,Dallas Mavericks
2472,Ty Lawson,G-C,1.8,87.75,USA,2009,18,West,Northwest,Denver Nuggets
2473,Jake Layman,F,2.03,94.05,USA,2016,47,East,Atlantic,Boston Celtics
2474,Dennis Layton,G-C,1.85,81.0,USA,1971,48,West,Pacific,Phoenix Suns
2475,Caris LeVert,G,1.98,92.25,USA,2016,undrafted,East,Central,Cleveland Cavaliers
2476,TJ Leaf,F,2.08,99.9,USA,2017,18,East,Central,Indiana Pacers
2477,Emanuel Leaks,G-C,2.03,101.25,USA,1968,undrafted,East,Atlantic,Philadelphia 76ers
2478,Hal Lear,G-C,1.8,73.35000000000001,USA,1956,7,West,Pacific,Golden State Warriors
2479,Allen Leavell,G-C,1.85,76.5,USA,1979,4,West,Southwest,Houston Rockets
2480,Jeff Lebo,G-C,1.88,81.0,USA,undrafted,undrafted,West,Southwest,San Antonio Spurs
2481,Eric Leckner,G-C,2.11,119.25,USA,1988,17,West,Northwest,Utah Jazz
2482,Jalen Lecque,G,1.93,83.25,USA,undrafted,undrafted,West,Pacific,Phoenix Suns
2483,Ricky Ledo,G-C,2.01,87.75,USA,2013,43,West,Southwest,Dallas Mavericks
2484,Butch Lee,G-C,1.83,83.25,USA,1978,undrafted,East,Southeast,Atlanta Hawks
2485,Rock Lee,G-C,2.08,99.0,USA,undrafted,undrafted,West,Pacific,LA Clippers
2486,Keith Lee,G-C,2.08,96.75,USA,1985,11,East,Central,Cleveland Cavaliers
2487,Doug Lee,G-C,1.96,90.0,USA,1987,35,East,Atlantic,Brooklyn Nets
2488,Damion Lee,G,1.98,94.5,USA,undrafted,undrafted,West,Pacific,Phoenix Suns
2489,George Lee,G-C,1.93,90.0,USA,1959,24,East,Central,Detroit Pistons
2490,Russell Lee,G-C,1.96,83.25,USA,1972,6,East,Central,Milwaukee Bucks
2491,Saben Lee,G,1.88,82.35000000000001,USA,2020,38,West,Pacific,Phoenix Suns
2492,Ron Lee,G-C,1.9,86.85000000000001,USA,1976,undrafted,West,Pacific,Phoenix Suns
2493,Clyde Lee,G-C,2.08,92.25,USA,1966,3,West,Pacific,Golden State Warriors
2494,Courtney Lee,G,1.96,96.75,USA,2008,22,West,Southwest,Memphis Grizzlies
2495,Kurk Lee,G-C,1.9,85.5,USA,undrafted,undrafted,East,Atlantic,Brooklyn Nets
2496,Greg Lee,G-C,1.9,85.5,USA,1974,115,West,Northwest,Portland Trail Blazers
2497,Malcolm Lee,G-C,1.96,90.0,USA,2011,43,West,Northwest,Minnesota Timberwolves
2498,David Lee,G-C,2.06,110.25,USA,2005,undrafted,East,Atlantic,New York Knicks
2499,Ed Leede,G-C,1.9,83.25,USA,1949,undrafted,East,Atlantic,Boston Celtics
2500,Tim Legler,G-C,1.93,99.0,USA,undrafted,undrafted,East,Southeast,Washington Wizards
2501,George Lehmann,G-C,1.83,81.0,USA,undrafted,undrafted,East,Southeast,Atlanta Hawks
2502,Walter Lemon Jr.,G-C,1.9,81.0,USA,2014,undrafted,East,Central,Chicago Bulls
2503,Alex Len,C,2.13,112.5,Ukraine,2013,5,West,Pacific,Sacramento Kings
2504,Voshon Lenard,G-C,1.93,96.75,USA,1994,46,East,Southeast,Miami Heat
2505,Bob Leonard,G-C,1.9,83.25,USA,1954,undrafted,West,Pacific,Los Angeles Lakers
2506,Gary Leonard,G-C,2.16,112.5,USA,1989,34,West,Northwest,Minnesota Timberwolves
2507,Kawhi Leonard,F,2.01,101.25,USA,2011,15,West,Pacific,LA Clippers
2508,Meyers Leonard,F-C,2.13,117.0,USA,2012,11,East,Central,Milwaukee Bucks
2509,Malevy Leons,F,2.06,94.5,Netherlands,undrafted,undrafted,West,Northwest,Oklahoma City Thunder
2510,Jim Les,G-C,1.8,74.25,USA,1986,undrafted,West,Pacific,Sacramento Kings
2511,Travis Leslie,G-C,1.93,92.25,USA,2011,47,West,Pacific,LA Clippers
2512,Ronnie Lester,G-C,1.88,78.75,USA,1980,undrafted,East,Central,Chicago Bulls
2513,Clifford Lett,G-C,1.9,76.5,USA,undrafted,undrafted,West,Southwest,San Antonio Spurs
2514,Jon Leuer,F,2.08,102.6,USA,2011,undrafted,West,Southwest,Memphis Grizzlies
2515,Andrew Levane,G-C,1.88,85.5,USA,undrafted,undrafted,East,Atlantic,Philadelphia 76ers
2516,Lafayette Lever,G-C,1.9,76.5,USA,1982,11,West,Northwest,Denver Nuggets
2517,Cliff Levingston,G-C,2.03,94.5,USA,1982,9,East,Southeast,Atlanta Hawks
2518,Ralph Lewis,G-C,1.98,90.0,USA,1985,139,East,Central,Detroit Pistons
2519,Martin Lewis,G-C,1.98,101.25,USA,1995,undrafted,East,Atlantic,Toronto Raptors
2520,Cedric Lewis,G-C,2.08,105.75,USA,undrafted,undrafted,East,Southeast,Washington Wizards
2521,Bobby Lewis,G-C,1.9,78.75,USA,1967,39,West,Pacific,Golden State Warriors
2522,Scottie Lewis,G,1.96,83.25,USA,2021,56,East,Southeast,Charlotte Hornets
2523,Justin Lewis,F,2.01,110.25,USA,undrafted,undrafted,East,Central,Chicago Bulls
2524,Freddie Lewis,G-C,1.83,78.75,USA,1966,88,East,Central,Indiana Pacers
2525,Reggie Lewis,G-C,2.01,87.75,USA,1987,22,East,Atlantic,Boston Celtics
2526,Maxwell Lewis,F,2.01,87.75,USA,2023,undrafted,West,Pacific,Los Angeles Lakers
2527,Quincy Lewis,G-C,2.01,96.75,USA,1999,19,West,Northwest,Utah Jazz
2528,Rashard Lewis,G-C,2.08,105.75,USA,1998,32,West,Northwest,Oklahoma City Thunder
2529,Kira Lewis Jr.,G,1.85,76.5,USA,2020,13,East,Southeast,Washington Wizards
2530,Marcus Liberty,G-C,2.03,92.25,USA,1990,42,West,Northwest,Denver Nuggets
2531,Todd Lichti,G-C,1.93,92.25,USA,1989,15,West,Northwest,Denver Nuggets
2532,E.J. Liddell,F,1.98,108.0,USA,2022,41,East,Central,Chicago Bulls
2533,DeAndre Liggins,G-C,1.98,94.05,USA,2011,53,East,Central,Cleveland Cavaliers
2534,Bill Ligon,G-C,1.93,81.0,USA,1974,175,East,Central,Detroit Pistons
2535,Damian Lillard,G,1.88,87.75,USA,2012,6,East,Central,Milwaukee Bucks
2536,Jeremy Lin,G,1.9,90.0,USA,undrafted,undrafted,West,Southwest,Houston Rockets
2537,Steve Lingenfelter,G-C,2.06,101.25,USA,1981,44,East,Southeast,Washington Wizards
2538,Alton Lister,G-C,2.13,110.25,USA,1981,21,East,Central,Milwaukee Bucks
2539,Nassir Little,F,1.98,99.0,USA,2019,25,East,Southeast,Miami Heat
2540,Dereck Lively,C,2.16,103.5,USA,2023,12,West,Southwest,Dallas Mavericks
2541,Isaiah Livers,F,1.98,104.4,USA,2021,42,East,Central,Detroit Pistons
2542,Chris Livingston,F,1.98,99.0,USA,2023,58,East,Central,Milwaukee Bucks
2543,Randy Livingston,G-C,1.93,94.05,USA,1996,42,West,Pacific,Phoenix Suns
2544,Shaun Livingston,G,2.01,86.4,USA,2004,4,West,Pacific,Golden State Warriors
2545,Ron Livingstone,G-C,2.08,99.0,USA,1949,6,West,Pacific,Golden State Warriors
2546,Horacio Llamas,G-C,2.11,128.25,USA,undrafted,undrafted,West,Pacific,Phoenix Suns
2547,Scott Lloyd,G-C,2.08,103.5,USA,1976,24,West,Southwest,Dallas Mavericks
2548,Earl Lloyd,G-C,1.98,90.0,USA,1950,undrafted,East,Atlantic,Philadelphia 76ers
2549,Lewis Lloyd,G-C,1.98,92.25,USA,1981,76,West,Southwest,Houston Rockets
2550,Bob Lochmueller,G-C,1.96,83.25,USA,1952,7,East,Atlantic,Philadelphia 76ers
2551,Robert Lock,G-C,2.06,101.25,USA,1988,51,West,Pacific,LA Clippers
2552,Darrell Lockhart,G-C,2.06,110.25,USA,1983,35,West,Southwest,San Antonio Spurs
2553,Ian Lockhart,G-C,2.03,108.0,USA,undrafted,undrafted,West,Pacific,Phoenix Suns
2554,Kevin Loder,G-C,1.98,92.25,USA,1981,17,West,Pacific,Sacramento Kings
2555,Zach Lofton,G,1.93,81.0,USA,undrafted,undrafted,East,Central,Detroit Pistons
2556,Kenneth Lofton Jr.,F,1.98,123.75,USA,undrafted,undrafted,East,Central,Chicago Bulls
2557,Brad Lohaus,G-C,2.11,103.5,USA,1987,45,East,Central,Milwaukee Bucks
2558,Paul Long,G-C,1.88,81.0,USA,1967,45,East,Central,Detroit Pistons
2559,Grant Long,G-C,2.06,112.5,USA,1988,33,East,Southeast,Miami Heat
2560,Art Long,G-C,2.06,112.5,USA,undrafted,undrafted,West,Northwest,Oklahoma City Thunder
2561,Shawn Long,G-C,2.06,114.75,USA,undrafted,undrafted,East,Atlantic,Philadelphia 76ers
2562,John Long,G-C,1.96,90.0,USA,1978,29,East,Central,Detroit Pistons
2563,Luc Longley,G-C,2.18,117.0,USA,1991,7,East,Central,Chicago Bulls
2564,Kevon Looney,F,2.06,99.9,USA,2015,undrafted,West,Pacific,Golden State Warriors
2565,Felipe Lopez,G-C,1.96,87.75,Dominican Republic,1998,24,West,Southwest,Memphis Grizzlies
2566,Robin Lopez,C,2.13,126.45,USA,2008,15,East,Central,Milwaukee Bucks
2567,Brook Lopez,C,2.16,126.9,USA,2008,undrafted,East,Central,Milwaukee Bucks
2568,Raul Lopez,G-C,1.83,72.0,Spain,2001,24,West,Northwest,Utah Jazz
2569,Ryan Lorthridge,G-C,1.93,85.5,USA,undrafted,undrafted,West,Pacific,Golden State Warriors
2570,Jim Loscutoff,G-C,1.96,99.0,USA,1955,3,East,Atlantic,Boston Celtics
2571,Plummer Lott,G-C,1.96,94.5,USA,1967,54,West,Northwest,Oklahoma City Thunder
2572,Kevin Loughery,G-C,1.9,85.5,USA,1962,11,East,Southeast,Washington Wizards
2573,Marcos Louzada Silva,G,1.96,84.60000000000001,Brazil,2019,35,West,Northwest,Portland Trail Blazers
2574,Stan Love,G-C,2.06,96.75,USA,1971,9,East,Southeast,Washington Wizards
2575,Bob Love,G-C,2.03,96.75,USA,1965,33,East,Central,Chicago Bulls
2576,Kevin Love,F-C,2.03,112.95,USA,2008,5,East,Southeast,Miami Heat
2577,Clyde Lovellette,G-C,2.06,105.3,USA,1952,9,West,Pacific,Los Angeles Lakers
2578,Sidney Lowe,G-C,1.83,87.75,USA,1983,25,West,Northwest,Minnesota Timberwolves
2579,Chuck Lowery,G-C,1.9,83.25,USA,1971,125,East,Central,Milwaukee Bucks
2580,Kyle Lowry,G,1.83,88.2,USA,2006,24,East,Atlantic,Philadelphia 76ers
2581,Jordan Loyd,G,1.93,94.5,USA,undrafted,undrafted,East,Atlantic,Toronto Raptors
2582,Maurice Lucas,G-C,2.06,96.75,USA,1974,14,West,Northwest,Portland Trail Blazers
2583,Kalin Lucas,G-C,1.85,87.75,USA,undrafted,undrafted,West,Southwest,Memphis Grizzlies
2584,Al Lucas,G-C,1.9,87.75,USA,undrafted,undrafted,East,Atlantic,Boston Celtics
2585,John Lucas,G-C,1.9,78.75,USA,1976,1,West,Southwest,Houston Rockets
2586,Jerry Lucas,G-C,2.03,103.5,USA,1962,undrafted,West,Pacific,Sacramento Kings
2587,John Lucas III,G-C,1.8,74.7,USA,undrafted,undrafted,East,Atlantic,Toronto Raptors
2588,Ted Luckenbill,G-C,1.98,92.25,USA,1961,15,West,Pacific,Golden State Warriors
2589,Tyronn Lue,G-C,1.83,78.75,USA,1998,23,East,Southeast,Atlanta Hawks
2590,Phil Lumpkin,G-C,1.83,74.25,USA,1974,34,West,Northwest,Portland Trail Blazers
2591,Ray Lumpp,G-C,1.85,80.10000000000001,USA,1948,undrafted,East,Atlantic,New York Knicks
2592,Gabriel Lundberg,G-C,1.93,91.35,Denmark,undrafted,undrafted,West,Pacific,Phoenix Suns
2593,Seth Lundy,G,1.93,99.0,USA,2023,46,East,Southeast,Atlanta Hawks
2594,Timothe Luwawu-Cabarrot,G-F,2.01,96.75,France,2016,24,West,Pacific,Phoenix Suns
2595,Tyler Lydon,F,2.08,101.25,USA,2017,24,West,Northwest,Denver Nuggets
2596,Trey Lyles,F,2.06,105.3,Canada,2015,12,West,Pacific,Sacramento Kings
2597,George Lynch,G-C,2.03,105.75,USA,1993,12,West,Southwest,New Orleans Pelicans
2598,Kevin Lynch,G-C,1.96,87.75,USA,1991,28,East,Southeast,Charlotte Hornets
2599,Mike Lynn,G-C,2.01,96.75,USA,1968,39,West,Pacific,Los Angeles Lakers
2600,Sheldon Mac,G-C,1.98,90.0,USA,2016,undrafted,East,Southeast,Washington Wizards
2601,Todd MacCulloch,G-C,2.13,126.0,Canada,1999,47,East,Atlantic,Philadelphia 76ers
2602,Ronnie MacGilvray,G-C,1.88,83.25,USA,1952,undrafted,East,Southeast,Atlanta Hawks
2603,Don MacLean,G-C,2.08,105.75,USA,1992,19,East,Southeast,Washington Wizards
2604,Mike Macaluso,G-C,1.96,94.5,USA,1973,88,West,Pacific,LA Clippers
2605,Ed Macauley,G-C,2.03,83.25,USA,1949,undrafted,East,Atlantic,Boston Celtics
2606,Scott Machado,G-C,1.85,92.25,USA,undrafted,undrafted,West,Southwest,Houston Rockets
2607,Arvydas Macijauskas,G-C,1.93,96.3,Lithuania,undrafted,undrafted,West,Southwest,New Orleans Pelicans
2608,Ollie Mack,G-C,1.9,83.25,USA,1979,25,West,Southwest,Dallas Mavericks
2609,Shelvin Mack,G,1.9,91.35,USA,2011,34,East,Southeast,Atlanta Hawks
2610,Sam Mack,G-C,2.01,99.0,USA,undrafted,undrafted,West,Southwest,Houston Rockets
2611,Malcolm Mackey,G-C,2.06,111.6,USA,1993,27,West,Pacific,Phoenix Suns
2612,Rudy Macklin,G-C,2.01,92.25,USA,1981,52,East,Southeast,Atlanta Hawks
2613,Vernon Macklin,G-C,2.08,102.15,USA,2011,52,East,Central,Detroit Pistons
2614,Johnny Macknowski,G-C,1.85,81.0,USA,1948,undrafted,East,Atlantic,Philadelphia 76ers
2615,Mark Macon,G-C,1.93,83.25,USA,1991,8,West,Northwest,Denver Nuggets
2616,Daryl Macon,G,1.9,83.25,USA,2018,undrafted,West,Southwest,Dallas Mavericks
2617,J.P. Macura,G,1.96,92.25,USA,2018,undrafted,East,Southeast,Charlotte Hornets
2618,Kyle Macy,G-C,1.9,78.75,USA,1979,22,West,Pacific,Phoenix Suns
2619,Tito Maddox,G-C,1.93,85.5,USA,2002,37,West,Southwest,Houston Rockets
2620,Gerald Madkins,G-C,1.93,90.0,USA,undrafted,undrafted,East,Central,Cleveland Cavaliers
2621,Mark Madsen,G-C,2.06,114.75,USA,2000,29,West,Northwest,Minnesota Timberwolves
2622,Josh Magette,G-C,1.85,72.0,USA,2012,0,East,Southeast,Atlanta Hawks
2623,Corey Maggette,G-C,1.98,101.25,USA,1999,13,West,Pacific,LA Clippers
2624,Dave Magley,G-C,2.03,90.9,USA,1982,28,East,Central,Cleveland Cavaliers
2625,Jamaal Magloire,G-C,2.11,119.25,Canada,2000,19,West,Southwest,New Orleans Pelicans
2626,Will Magnay,C,2.08,105.3,Australia,undrafted,undrafted,West,Southwest,New Orleans Pelicans
2627,Ian Mahinmi,C,2.11,117.9,France,2005,28,East,Central,Indiana Pacers
2628,John Mahnken,G-C,2.03,99.0,USA,undrafted,undrafted,East,Atlantic,Boston Celtics
2629,Francis Mahoney,G-C,1.88,92.25,USA,1950,undrafted,East,Atlantic,Boston Celtics
2630,Rick Mahorn,G-C,2.08,117.0,USA,1980,35,East,Southeast,Washington Wizards
2631,Dan Majerle,G-C,1.98,99.9,USA,1988,14,West,Pacific,Phoenix Suns
2632,Renaldo Major,G-C,2.01,85.5,USA,undrafted,undrafted,West,Pacific,Golden State Warriors
2633,Thon Maker,F,2.13,99.45,South Sudan,2016,undrafted,East,Central,Milwaukee Bucks
2634,Theo Maledon,G,1.96,78.75,France,2020,34,West,Pacific,Phoenix Suns
2635,Jeff Malone,G-C,1.93,92.25,USA,1983,undrafted,East,Southeast,Washington Wizards
2636,Karl Malone,G-C,2.06,116.55,USA,1985,13,West,Northwest,Utah Jazz
2637,Moses Malone,G-C,2.08,96.75,USA,undrafted,undrafted,West,Southwest,Houston Rockets
2638,Matt Maloney,G,1.9,90.0,USA,undrafted,undrafted,West,Southwest,Houston Rockets
2639,Steve Malovic,G-C,2.08,103.5,USA,1978,149,West,Pacific,LA Clippers
2640,Sandro Mamukelashvili,F,2.06,108.0,Georgia,2021,54,West,Southwest,San Antonio Spurs
2641,Ted Manakas,G-C,1.88,81.0,USA,1973,36,West,Pacific,Sacramento Kings
2642,Karim Mane,G,1.9,85.5,Senegal,undrafted,undrafted,East,Southeast,Orlando Magic
2643,Frank Mangiapane,G-C,1.78,87.75,USA,undrafted,undrafted,East,Atlantic,New York Knicks
2644,Terance Mann,G,1.96,96.75,USA,2019,48,West,Pacific,LA Clippers
2645,Tre Mann,G,1.9,80.10000000000001,USA,2021,18,East,Southeast,Charlotte Hornets
2646,Marcus Mann,F,2.03,110.25,USA,1996,undrafted,West,Pacific,Golden State Warriors
2647,Ed Manning,G-C,2.01,94.5,USA,1967,undrafted,East,Southeast,Washington Wizards
2648,Richard Manning,G-C,2.11,110.25,USA,1993,undrafted,West,Southwest,Memphis Grizzlies
2649,Danny Manning,G-C,2.08,109.8,USA,1988,1,West,Pacific,LA Clippers
2650,Pace Mannion,G-C,2.01,85.5,USA,1983,43,West,Northwest,Utah Jazz
2651,Nico Mannion,G,1.88,85.5,Italy,2020,48,West,Pacific,Golden State Warriors
2652,Nick Mantis,G-C,1.9,85.5,USA,1959,37,East,Southeast,Washington Wizards
2653,Pete Maravich,G-C,1.96,88.65,USA,1970,3,West,Northwest,Utah Jazz
2654,Devyn Marble,G-C,1.98,90.0,USA,2014,56,East,Southeast,Orlando Magic
2655,Roy Marble,G-C,1.98,85.5,USA,1989,23,East,Southeast,Atlanta Hawks
2656,Stephon Marbury,G,1.88,92.25,USA,1996,4,East,Atlantic,New York Knicks
2657,Sarunas Marciulionis,G-C,1.96,90.0,Lithuania,1987,127,East,Central,Cleveland Cavaliers
2658,Saul Mariaschin,G-C,1.8,74.25,USA,1947,undrafted,East,Atlantic,Boston Celtics
2659,Jack Marin,G-C,1.98,90.0,USA,1966,5,East,Southeast,Washington Wizards
2660,Shawn Marion,G,2.01,102.6,USA,1999,9,West,Pacific,Phoenix Suns
2661,Boban Marjanovic,C,2.24,130.5,Serbia,undrafted,undrafted,West,Southwest,Houston Rockets
2662,Lauri Markkanen,F,2.13,108.0,Finland,2017,7,West,Northwest,Utah Jazz
2663,Damir Markota,G-C,2.08,101.25,Croatia,2006,59,East,Central,Milwaukee Bucks
2664,Sean Marks,G-C,2.08,112.5,New Zealand,1998,44,West,Southwest,New Orleans Pelicans
2665,Harvey Marlatt,G-C,1.9,83.25,USA,undrafted,undrafted,East,Central,Detroit Pistons
2666,Jim Marsh,G-C,2.01,96.75,USA,1968,136,West,Northwest,Portland Trail Blazers
2667,Eric Marsh,G-C,1.9,90.0,USA,1977,165,West,Pacific,Golden State Warriors
2668,Rawle Marshall,G-C,2.01,85.5,USA,undrafted,undrafted,East,Central,Indiana Pacers
2669,Donny Marshall,G-C,2.01,103.5,USA,1995,39,East,Central,Cleveland Cavaliers
2670,Tom Marshall,G-C,1.93,96.75,USA,1954,7,West,Pacific,Sacramento Kings
2671,Naji Marshall,F,1.98,99.0,USA,undrafted,undrafted,West,Southwest,Dallas Mavericks
2672,Kendall Marshall,G-C,1.93,90.0,USA,2012,13,West,Pacific,Los Angeles Lakers
2673,Donyell Marshall,G-C,2.06,110.25,USA,1994,4,West,Pacific,Golden State Warriors
2674,Vester Marshall,G-C,2.01,90.0,USA,undrafted,undrafted,West,Northwest,Oklahoma City Thunder
2675,Darrick Martin,G-C,1.8,76.5,USA,undrafted,undrafted,West,Pacific,LA Clippers
2676,Phil Martin,G-C,1.9,85.5,USA,1954,29,East,Southeast,Atlanta Hawks
2677,Ronald Martin,G-C,1.88,83.25,USA,1961,undrafted,East,Atlantic,New York Knicks
2678,Larue Martin,G-C,2.11,93.6,USA,1972,1,West,Northwest,Portland Trail Blazers
2679,Cody Martin,F,1.98,92.25,USA,2019,36,East,Southeast,Charlotte Hornets
2680,Mo Martin,G-C,1.98,90.0,USA,1986,16,West,Northwest,Denver Nuggets
2681,Kenyon Martin,F,2.06,101.25,USA,2000,1,West,Northwest,Denver Nuggets
2682,Bob Martin,G-C,2.13,112.5,USA,undrafted,undrafted,West,Pacific,LA Clippers
2683,Cartier Martin,G-C,2.01,99.0,USA,undrafted,undrafted,East,Southeast,Washington Wizards
2684,Caleb Martin,F,1.96,92.25,USA,undrafted,undrafted,East,Atlantic,Philadelphia 76ers
2685,Jeremiah Martin,G,1.88,83.25,USA,undrafted,undrafted,East,Central,Cleveland Cavaliers
2686,Tyrese Martin,G,1.98,96.75,USA,2022,51,East,Atlantic,Brooklyn Nets
2687,Jeff Martin,G-C,1.96,87.75,USA,1989,31,West,Pacific,LA Clippers
2688,Jarell Martin,F,2.08,107.55,USA,2015,25,West,Southwest,Memphis Grizzlies
2689,Jaylen Martin,G,1.98,97.2,USA,undrafted,undrafted,East,Atlantic,Brooklyn Nets
2690,Kelan Martin,F,1.96,103.5,USA,undrafted,undrafted,West,Southwest,New Orleans Pelicans
2691,Bill Martin,G-C,2.01,92.25,USA,1985,26,East,Central,Indiana Pacers
2692,Cuonzo Martin,G-C,1.98,96.75,USA,1995,57,West,Southwest,Memphis Grizzlies
