,Player,position,height,weight,country,draft_year,draft_number,conference,division,team
3892,Craig Smith,G-C,2.01,119.25,USA,2006,36,West,Northwest,Minnesota Timberwolves
3893,Dru Smith,G,1.88,91.35,USA,undrafted,undrafted,East,Southeast,Miami Heat
3894,Chris Smith,G-C,1.9,85.5,USA,1992,34,West,Northwest,Minnesota Timberwolves
3895,Jason Smith,F-C,2.13,108.0,USA,2007,undrafted,West,Southwest,New Orleans Pelicans
3896,Zhaire Smith,G,1.9,92.25,USA,2018,16,East,Atlantic,Philadelphia 76ers
3897,Steven Smith,G-C,2.06,112.5,USA,undrafted,undrafted,East,Atlantic,Philadelphia 76ers
3898,Russ Smith,G-C,1.83,74.25,USA,2014,47,West,Southwest,Memphis Grizzlies
3899,Joe Smith,G-C,2.08,101.25,USA,1995,1,West,Northwest,Minnesota Timberwolves
3900,Bill Smith,G-C,2.13,99.0,USA,1971,42,West,Northwest,Portland Trail Blazers
3901,Steven Smith,G-C,2.03,99.45,USA,1991,5,East,Southeast,Atlanta Hawks
3902,Stevin Smith,G-C,1.88,93.6,USA,undrafted,undrafted,West,Southwest,Dallas Mavericks
3903,Clinton Smith,G-C,1.98,94.5,USA,1986,97,West,Pacific,Golden State Warriors
3904,Jalen Smith,F-C,2.06,96.75,USA,2020,undrafted,East,Central,Chicago Bulls
3905,Michael Smith,G-C,2.08,101.25,USA,1989,13,East,Atlantic,Boston Celtics
3906,Michael Smith,G-C,2.03,108.0,USA,1994,35,West,Pacific,Sacramento Kings
3907,Phil Smith,G-C,1.93,83.25,USA,1974,29,West,Pacific,Golden State Warriors
3908,Randy Smith,G-C,1.9,81.0,USA,1971,4,West,Pacific,LA Clippers
3909,Labradford Smith,G-C,1.9,90.0,USA,1991,19,East,Southeast,Washington Wizards
3910,Jerry Smith,G-C,1.88,85.5,USA,1963,12,East,Atlantic,Brooklyn Nets
3911,Chris Smith,G-C,1.88,90.0,USA,undrafted,undrafted,East,Atlantic,New York Knicks
3912,Don Smith,G-C,1.83,72.0,USA,1974,19,East,Atlantic,Philadelphia 76ers
3913,Leon Smith,G-C,2.08,105.75,USA,1999,29,East,Southeast,Atlanta Hawks
3914,Doug Smith,G-C,2.08,99.0,USA,1991,6,West,Southwest,Dallas Mavericks
3915,Terquavion Smith,G,1.93,72.0,USA,undrafted,undrafted,East,Atlantic,Philadelphia 76ers
3916,Jabari Smith,G-C,2.11,112.5,USA,2000,45,West,Pacific,Sacramento Kings
3917,Jim Smith,G-C,2.06,101.25,USA,1981,54,West,Pacific,LA Clippers
3918,Bingo Smith,G-C,1.96,87.75,USA,1969,6,East,Central,Cleveland Cavaliers
3919,Donald Smith,G-C,1.88,85.5,USA,1947,undrafted,West,Pacific,Los Angeles Lakers
3920,Derek Smith,G-C,1.98,92.25,USA,1982,35,West,Pacific,LA Clippers
3921,Theron Smith,G-C,2.03,101.25,USA,undrafted,undrafted,East,Southeast,Charlotte Hornets
3922,Charles Smith,G-C,1.93,90.0,USA,1997,26,West,Southwest,San Antonio Spurs
3923,Tony Smith,G-C,1.93,92.25,USA,1990,51,West,Pacific,Los Angeles Lakers
3924,Garfield Smith,G-C,2.06,105.75,USA,1968,32,East,Atlantic,Boston Celtics
3925,Sammy Smith,G-C,1.93,90.0,USA,1977,48,East,Central,Chicago Bulls
3926,Willie Smith,G-C,1.88,76.5,USA,1976,18,East,Central,Cleveland Cavaliers
3927,Josh Smith,G-C,2.06,101.25,USA,2004,17,East,Southeast,Atlanta Hawks
3928,Reggie Smith,G-C,2.08,108.0,USA,1992,31,West,Northwest,Portland Trail Blazers
3929,Donta Smith,G-C,2.01,96.75,USA,2004,34,East,Southeast,Atlanta Hawks
3930,Bill Smith,G-C,1.96,85.5,USA,1961,42,East,Atlantic,New York Knicks
3931,Otis Smith,G-C,1.96,94.5,USA,1986,41,East,Southeast,Orlando Magic
3932,Nolan Smith,G-C,1.88,83.25,USA,2011,21,West,Northwest,Portland Trail Blazers
3933,Mike Smith,G-C,2.03,87.75,USA,2000,35,East,Southeast,Washington Wizards
3934,Charles Smith,G-C,1.85,72.0,USA,undrafted,undrafted,East,Atlantic,Boston Celtics
3935,Ish Smith,G,1.83,78.75,USA,undrafted,undrafted,East,Southeast,Charlotte Hornets
3936,Greg Smith,G-C,2.08,112.5,USA,undrafted,undrafted,West,Southwest,Houston Rockets
3937,Bobby Smith,G-C,1.93,85.5,USA,1959,18,West,Pacific,Los Angeles Lakers
3938,Adrian Smith,G-C,1.85,81.0,USA,1958,85,West,Pacific,Sacramento Kings
3939,Robert Smith,G-C,1.8,74.25,USA,1977,65,West,Northwest,Denver Nuggets
3940,Larry Smith,G-C,2.03,96.75,USA,1980,24,West,Pacific,Golden State Warriors
3941,Elmore Smith,G-C,2.16,112.5,USA,1971,3,West,Pacific,Los Angeles Lakers
3942,Ed Smith,G-C,1.98,81.0,USA,1951,6,East,Atlantic,New York Knicks
3943,Kenny Smith,G-C,1.9,76.5,USA,1987,6,West,Southwest,Houston Rockets
3944,Greg Smith,G-C,1.96,87.75,USA,1968,undrafted,East,Central,Milwaukee Bucks
3945,Tyler Smith,F,2.06,100.8,USA,2024,33,East,Central,Milwaukee Bucks
3946,Keith Smith,G-C,1.9,81.0,USA,1986,45,East,Central,Milwaukee Bucks
3947,JR Smith,G-F,1.98,99.0,USA,2004,18,West,Northwest,Denver Nuggets
3948,Charles Smith,G-C,2.08,109.8,USA,1988,3,West,Pacific,LA Clippers
3949,Dennis Smith Jr.,G,1.9,92.25,USA,2017,9,East,Atlantic,Brooklyn Nets
3950,Nick Smith Jr.,G,1.88,83.25,USA,2023,27,East,Southeast,Charlotte Hornets
3951,Jabari Smith Jr.,F,2.08,99.0,USA,2022,3,West,Southwest,Houston Rockets
3952,Rik Smits,G-C,2.24,119.25,USA,1988,2,East,Central,Indiana Pacers
3953,Mike Smrek,G-C,2.13,112.5,USA,1985,25,West,Pacific,Los Angeles Lakers
3954,Xavier Sneed,F,1.96,96.75,USA,undrafted,undrafted,East,Southeast,Charlotte Hornets
3955,Tony Snell,G,1.98,95.85,USA,2013,undrafted,West,Southwest,New Orleans Pelicans
3956,Eric Snow,G-C,1.9,92.25,USA,1995,43,East,Atlantic,Philadelphia 76ers
3957,Dick Snyder,G-C,1.96,93.15,USA,1966,14,West,Northwest,Oklahoma City Thunder
3958,Kirk Snyder,G-C,1.98,101.25,USA,2004,16,West,Southwest,New Orleans Pelicans
3959,Ricky Sobers,G-C,1.9,89.10000000000001,USA,1975,16,East,Central,Chicago Bulls
3960,Ron Sobie,G-C,1.9,83.25,USA,1956,6,East,Atlantic,New York Knicks
3961,Jeremy Sochan,F,2.03,103.5,Poland,2022,9,West,Southwest,San Antonio Spurs
3962,Mike Sojourner,G-C,2.06,101.25,USA,1974,undrafted,East,Southeast,Atlanta Hawks
3963,Will Solomon,G-C,1.85,83.25,USA,2001,32,West,Southwest,Memphis Grizzlies
3964,Willie Somerset,G-C,1.73,76.5,USA,1965,56,East,Southeast,Washington Wizards
3965,Darius Songaila,G-C,2.06,111.6,Lithuania,2002,49,East,Southeast,Washington Wizards
3966,Dave Sorenson,G-C,2.03,101.25,USA,1970,26,East,Central,Cleveland Cavaliers
3967,James Southerland,G-C,2.03,96.75,USA,undrafted,undrafted,West,Southwest,New Orleans Pelicans
3968,Pape Sow,G-C,2.08,112.5,Senegal,2004,47,East,Atlantic,Toronto Raptors
3969,Ray Spalding,F,2.06,101.25,USA,2018,56,West,Pacific,Phoenix Suns
3970,Jim Spanarkel,G-C,1.96,85.5,USA,1979,16,West,Southwest,Dallas Mavericks
3971,Vassilis Spanoulis,G-C,1.93,87.75,Greece,2004,undrafted,West,Southwest,Houston Rockets
3972,Guy Sparrow,G-C,1.98,98.1,USA,1955,19,East,Atlantic,New York Knicks
3973,Rory Sparrow,G-C,1.88,78.75,USA,1980,75,East,Atlantic,New York Knicks
3974,Odie Spears,G-C,1.96,92.25,USA,1948,undrafted,West,Pacific,Sacramento Kings
3975,Art Spector,G-C,1.93,90.0,USA,undrafted,undrafted,East,Atlantic,Boston Celtics
3976,Marreese Speights,G-C,2.08,114.75,USA,2008,16,West,Pacific,Golden State Warriors
3977,Omari Spellman,F,2.03,110.25,USA,2018,undrafted,West,Pacific,Golden State Warriors
3978,Felton Spencer,G-C,2.13,130.5,USA,1990,6,West,Northwest,Minnesota Timberwolves
3979,Andre Spencer,G-C,1.98,94.5,USA,undrafted,undrafted,West,Pacific,Sacramento Kings
3980,Pat Spencer,G,1.9,92.25,USA,undrafted,undrafted,West,Pacific,Golden State Warriors
3981,Elmore Spencer,G-C,2.13,121.5,USA,1992,25,West,Pacific,LA Clippers
3982,Cam Spencer,G,1.93,92.25,USA,2024,53,West,Southwest,Memphis Grizzlies
3983,Craig Spitzer,G-C,2.13,101.25,USA,undrafted,undrafted,East,Central,Chicago Bulls
3984,Tiago Splitter,G-C,2.11,110.25,Brazil,2007,28,West,Southwest,San Antonio Spurs
3985,Art Spoelstra,G-C,2.06,99.0,USA,1954,34,West,Pacific,Sacramento Kings
3986,Latrell Sprewell,G-C,1.96,87.75,USA,1992,24,West,Pacific,Golden State Warriors
3987,Larry Spriggs,G-C,2.01,103.5,USA,1981,81,West,Pacific,Los Angeles Lakers
3988,Jaden Springer,G,1.93,90.9,USA,2021,28,East,Atlantic,Boston Celtics
3989,Ryan Stack,G-C,2.11,96.75,USA,1998,48,East,Central,Cleveland Cavaliers
3990,Jerry Stackhouse,G-C,1.98,98.1,USA,1995,3,East,Central,Detroit Pistons
3991,Kevin Stacom,G-C,1.9,83.25,USA,1974,35,East,Atlantic,Boston Celtics
